EmployeeID,FullName,Department,Location,IsRemote
1,Joshua_Wil,Operations,Remote,False
2,Ashley_Rob,Marketing,Remote,True
3,Daniel_Moo,IT,Isle of Wight,True
4,John_Hal,Sales,Southampton,True
5,Mary_Wri,Legal,Isle of Wight,False
6,Paul_San,HR,Isle of Wight,True
7,Paul_Ngu,Finance,London,False
8,Lisa_Ram,Marketing,Portsmouth,True
9,Donna_All,HR,Portsmouth,False
10,Sarah_Hil,Operations,Isle of Wight,True
11,Thomas_Lew,IT,Portsmouth,True
12,Andrew_Flo,HR,Portsmouth,False
13,Sarah_Tho,IT,London,False
14,Jennifer_Cam,HR,Portsmouth,False
15,James_Mar,Finance,Remote,False
16,Patricia_Per,Operations,Portsmouth,False
17,David_Tay,Marketing,Remote,False
18,Ashley_Lop,Operations,Portsmouth,True
19,Richard_Flo,Legal,Southampton,True
20,Thomas_Tho,Sales,Isle of Wight,False
21,James_Rob,Finance,Remote,True
22,Richard_Per,Sales,Portsmouth,True
23,David_Kin,Marketing,Remote,False
24,Betty_Her,Operations,London,False
25,Ashley_Rob_25,HR,Isle of Wight,False
26,Joseph_Riv,Finance,London,True
27,Sarah_Per,Operations,Southampton,True
28,Patricia_Mit,Sales,Portsmouth,True
29,Sandra_Jac,Marketing,Remote,False
30,Michelle_Wri,Legal,Portsmouth,False
31,Daniel_Cla,Finance,Isle of Wight,False
32,Margaret_Ram,Finance,Remote,False
33,Ashley_Jac,Legal,London,True
34,Betty_Jon,HR,Isle of Wight,False
35,Betty_Sco,Sales,Southampton,False
36,David_Wri,Legal,Remote,False
37,Kimberly_Cla,HR,London,False
38,Donna_Riv,IT,Portsmouth,True
39,Emily_Car,Sales,Southampton,False
40,Karen_Mar,Finance,Portsmouth,False
41,Barbara_Per,HR,Portsmouth,True
42,Matthew_All,IT,Isle of Wight,True
43,Emily_Bak,Operations,London,False
44,Joshua_Wil_44,Marketing,Southampton,False
45,Susan_Mar,Sales,Remote,True
46,Linda_Her,HR,Isle of Wight,False
47,Sarah_You,Sales,Portsmouth,False
48,Sandra_Moo,Sales,Isle of Wight,True
49,Steven_All,Finance,Isle of Wight,False
50,William_Gar,IT,London,False
51,Daniel_Ada,HR,Remote,True
52,Jessica_Bak,Operations,Isle of Wight,False
53,Barbara_Gar,HR,London,False
54,Linda_Smi,Finance,Portsmouth,False
55,Mary_Her,HR,Isle of Wight,True
56,Linda_Mar,HR,Remote,True
57,Sandra_Per,Sales,Isle of Wight,False
58,Daniel_Car,Marketing,Portsmouth,False
59,Emily_Gre,Marketing,Southampton,False
60,Kimberly_Wil,Legal,London,True
61,Mark_Moo,Sales,Isle of Wight,True
62,Sandra_Hil,Operations,Portsmouth,True
63,Donna_Kin,Marketing,Isle of Wight,False
64,John_Tho,Sales,Southampton,False
65,Paul_Whi,Finance,Remote,True
66,Robert_And,IT,Remote,False
67,Patricia_Mit_67,Finance,Southampton,False
68,Mark_Jac,IT,Southampton,False
69,Robert_Wal,Sales,Southampton,True
70,Ashley_Lop_70,Legal,London,True
71,Barbara_Flo,Sales,London,True
72,Betty_Ngu,IT,London,False
73,William_Ngu,HR,Remote,True
74,Steven_Lew,Finance,Southampton,False
75,William_Nel,Finance,London,False
76,Matthew_Moo,Sales,Southampton,True
77,Robert_Bak,IT,Isle of Wight,False
78,Karen_Wal,HR,Portsmouth,True
79,Lisa_Cla,Sales,London,False
80,Matthew_You,Legal,Portsmouth,False
81,Paul_Lew,HR,Portsmouth,False
82,Michael_Cla,Finance,Portsmouth,True
83,Kimberly_Rob,IT,Southampton,False
84,Jennifer_Riv,Operations,Portsmouth,True
85,Charles_Wal,HR,Southampton,False
86,Ashley_Ram,Marketing,Southampton,False
87,Christopher_Per,IT,London,True
88,Patricia_Hil,Marketing,Isle of Wight,True
89,Nancy_And,Legal,London,True
90,Jessica_Joh,IT,Portsmouth,True
91,Sandra_Jon,Sales,Isle of Wight,False
92,Emily_Ada,Legal,Portsmouth,True
93,Elizabeth_Wil,Operations,Remote,True
94,Mary_Mil,HR,Isle of Wight,False
95,Mary_Lee,Marketing,Southampton,True
96,Sarah_Ada,Marketing,Isle of Wight,True
97,Emily_Riv,IT,Portsmouth,False
98,Kimberly_Car,Marketing,Portsmouth,False
99,Charles_Jon,Legal,Remote,True
100,Charles_Lew,HR,London,False
101,Emily_Gre_101,Operations,Portsmouth,False
102,Joshua_Rob,HR,London,False
103,Margaret_Tho,HR,Remote,True
104,William_Gon,HR,Remote,True
105,Steven_Wal,Sales,Portsmouth,True
106,Richard_Lee,Sales,Isle of Wight,True
107,Jessica_Mar,Finance,Portsmouth,True
108,Mark_Gre,Operations,Isle of Wight,False
109,Sandra_Mar,Marketing,Isle of Wight,True
110,James_Smi,Sales,Southampton,True
111,Patricia_You,Marketing,London,False
112,Joseph_Lew,Sales,Portsmouth,True
113,Steven_Wil,IT,London,True
114,Anthony_Tor,Operations,Remote,True
115,Kimberly_Bro,HR,Remote,True
116,Patricia_Dav,HR,London,False
117,Elizabeth_Nel,Sales,Portsmouth,True
118,Margaret_Dav,Marketing,London,False
119,Thomas_Tay,IT,Isle of Wight,True
120,John_Bro,Sales,Southampton,False
121,Margaret_Per,HR,Portsmouth,True
122,Michael_All,IT,Southampton,False
123,Barbara_Whi,Legal,Portsmouth,False
124,Joshua_Bak,Operations,Isle of Wight,False
125,David_Mit,Marketing,London,True
126,William_Ada,IT,London,True
127,Linda_Wal,Finance,Portsmouth,False
128,Susan_Wil,Marketing,Southampton,True
129,John_Wil,Operations,Southampton,False
130,Nancy_You,Sales,Remote,True
131,Betty_Riv,Sales,Portsmouth,False
132,Betty_Cla,Marketing,Southampton,False
133,Michelle_Har,HR,London,True
134,David_Bak,HR,Isle of Wight,False
135,Christopher_Sco,HR,Southampton,False
136,Jennifer_Whi,Operations,Isle of Wight,True
137,Christopher_Jon,Operations,Remote,True
138,James_Flo,Legal,Southampton,True
139,Barbara_Jac,Sales,Southampton,False
140,Sarah_Lew,Operations,Remote,True
141,Matthew_Hil,Legal,Isle of Wight,False
142,John_Mar,Sales,London,True
143,James_Her,Marketing,Remote,False
144,Steven_Lop,IT,Remote,False
145,Michael_Ram,IT,Portsmouth,True
146,Andrew_Tor,IT,London,True
147,Kimberly_Mit,IT,Remote,True
148,Robert_Hal,Finance,Portsmouth,True
149,Donna_Wri,Finance,Southampton,False
150,John_Har,IT,London,True
151,Mark_Joh,IT,Portsmouth,True
152,Barbara_Rob,IT,Remote,True
153,Michael_Jon,Operations,London,True
154,Donald_Wil,Marketing,Portsmouth,False
155,Lisa_Flo,Marketing,Remote,True
156,David_Mit_156,HR,London,False
157,Jennifer_Lee,Finance,Southampton,True
158,Lisa_Flo_158,Sales,Southampton,True
159,Robert_Jon,Finance,London,False
160,Ashley_Sco,IT,Portsmouth,True
161,Kimberly_Gon,Legal,London,True
162,Anthony_Cam,HR,Southampton,True
163,Joshua_Lew,Sales,Southampton,True
164,Elizabeth_Kin,Marketing,Remote,False
165,Nancy_Her,HR,Isle of Wight,True
166,Sandra_And,HR,Remote,False
167,Susan_Hil,Marketing,Southampton,True
168,Joseph_Gre,IT,Remote,True
169,Robert_Mil,Finance,Isle of Wight,False
170,Joseph_You,Legal,Isle of Wight,True
171,Robert_Mar,IT,London,False
172,Lisa_Joh,IT,Isle of Wight,False
173,Charles_Tor,IT,Southampton,True
174,Patricia_Mar,HR,Remote,False
175,Michael_Mil,HR,Remote,False
176,Barbara_Wal,Legal,Southampton,True
177,Mary_Riv,IT,Southampton,True
178,John_Riv,HR,Portsmouth,True
179,William_Rod,Operations,Remote,True
180,Joshua_Tay,Operations,Southampton,False
181,Charles_Bro,Sales,Isle of Wight,False
182,Nancy_Wri,IT,Portsmouth,False
183,Anthony_Gon,HR,Portsmouth,True
184,Robert_Kin,HR,Portsmouth,False
185,Margaret_Smi,Legal,Southampton,True
186,Patricia_Jon,Sales,London,False
187,Charles_Rob,Operations,London,False
188,Karen_Tay,Finance,Portsmouth,True
189,Lisa_Mar,Marketing,Portsmouth,True
190,Sandra_Tay,Finance,Portsmouth,True
191,William_Car,Marketing,London,True
192,Patricia_Per_192,IT,Isle of Wight,False
193,Kimberly_Flo,Sales,Southampton,True
194,Linda_Dav,IT,London,False
195,Anthony_Kin,Sales,Remote,False
196,Jennifer_Bak,Sales,Southampton,False
197,Richard_Her,Operations,Isle of Wight,True
198,Barbara_Mit,Marketing,Southampton,False
199,Donna_Sco,Finance,Remote,False
200,Karen_Har,Finance,Isle of Wight,True
201,Patricia_Mit_201,Legal,London,True
202,Matthew_Flo,HR,Isle of Wight,False
203,Lisa_Car,Marketing,Portsmouth,False
204,Nancy_Mar,Marketing,Remote,True
205,Nancy_Mar_205,Legal,London,True
206,Elizabeth_Dav,Operations,Isle of Wight,True
207,Charles_Lop,Finance,Isle of Wight,True
208,Christopher_Rod,Legal,Isle of Wight,False
209,Jessica_Joh_209,Legal,Isle of Wight,True
210,Thomas_Gon,Operations,Southampton,True
211,Thomas_Wil,Legal,Remote,False
212,Anthony_Tho,IT,Southampton,True
213,Thomas_Wil_213,Marketing,Isle of Wight,False
214,Kimberly_Lee,Finance,Portsmouth,True
215,Margaret_Gar,HR,London,False
216,Joseph_Mar,IT,Southampton,False
217,Anthony_San,Marketing,Isle of Wight,True
218,Michelle_Har_218,Legal,London,True
219,Emily_Tor,IT,Remote,False
220,Jennifer_Gre,Sales,Southampton,True
221,Elizabeth_Riv,HR,Isle of Wight,False
222,Joshua_Flo,Operations,Southampton,True
223,Joseph_Ram,Sales,Remote,True
224,Jennifer_Tho,Finance,Southampton,False
225,Margaret_Gar_225,IT,London,True
226,Lisa_Mar_226,Marketing,Portsmouth,False
227,Donna_Whi,IT,Portsmouth,False
228,Elizabeth_Flo,Sales,Portsmouth,True
229,Lisa_Flo_229,Operations,Southampton,True
230,Joshua_Ada,Operations,Remote,True
231,David_Hal,Operations,Isle of Wight,True
232,Daniel_Nel,Finance,Southampton,False
233,Elizabeth_Smi,IT,Southampton,True
234,Paul_Rob,IT,London,True
235,David_Ram,Marketing,Isle of Wight,True
236,Nancy_Nel,Legal,Remote,True
237,Jennifer_Dav,Marketing,Portsmouth,False
238,Andrew_You,IT,London,True
239,Linda_Ada,Legal,Remote,False
240,Mary_Kin,Sales,Isle of Wight,True
241,Donna_Wri_241,Marketing,Isle of Wight,False
242,William_Cam,HR,Portsmouth,True
243,Linda_Hil,Marketing,Portsmouth,False
244,Anthony_Whi,Marketing,Isle of Wight,False
245,Sarah_Kin,Legal,Remote,True
246,Donna_Jac,HR,Portsmouth,True
247,Paul_You,Finance,Southampton,False
248,Joshua_Tay_248,Marketing,Remote,False
249,Joshua_Har,IT,Portsmouth,True
250,William_Gar_250,Operations,Portsmouth,True
251,Charles_Sco,IT,London,True
252,Joseph_Lop,Sales,Southampton,False
253,James_Lew,HR,Remote,False
254,Mark_Gar,Legal,Portsmouth,True
255,Jessica_Cam,IT,Remote,True
256,Daniel_Per,Marketing,Isle of Wight,False
257,Michelle_You,Legal,Isle of Wight,False
258,Elizabeth_All,Sales,Remote,True
259,John_Rod,Sales,Southampton,True
260,Patricia_Kin,Sales,Remote,False
261,Margaret_Joh,Sales,Remote,False
262,Emily_Wal,Legal,Portsmouth,False
263,Michael_Wal,IT,Southampton,False
264,Margaret_Lop,Legal,Southampton,False
265,Christopher_Mil,Operations,Southampton,False
266,Jennifer_Gar,Marketing,Remote,False
267,Emily_Rod,HR,Southampton,False
268,Steven_You,HR,Isle of Wight,True
269,Joshua_Ada_269,Operations,Portsmouth,True
270,Margaret_Dav_270,Legal,London,False
271,Andrew_Jon,HR,Portsmouth,False
272,Ashley_Ram_272,HR,London,False
273,Robert_Jac,IT,Southampton,True
274,Joseph_Wil,Legal,Portsmouth,False
275,James_Per,Finance,Isle of Wight,True
276,William_Gre,Sales,Isle of Wight,False
277,Robert_Mit,IT,London,False
278,David_Ram_278,Operations,Remote,False
279,Thomas_Cla,Sales,Southampton,True
280,Paul_Nel,Legal,Isle of Wight,True
281,Anthony_Lee,Sales,Isle of Wight,True
282,Joseph_Moo,Sales,Portsmouth,False
283,William_Cla,Sales,London,True
284,Paul_Wil,Operations,Portsmouth,False
285,Karen_Car,IT,Isle of Wight,True
286,Anthony_And,Finance,Southampton,True
287,Ashley_Mar,Legal,Portsmouth,False
288,Karen_Bak,Sales,Southampton,False
289,John_Ram,Operations,London,True
290,Charles_Cam,Marketing,Portsmouth,True
291,Andrew_Per,Sales,Remote,True
292,James_Wal,Operations,Southampton,False
293,Mary_Rob,Sales,Isle of Wight,True
294,Mary_San,Operations,Isle of Wight,False
295,Anthony_Riv,Marketing,Southampton,True
296,Jessica_Whi,HR,Portsmouth,True
297,Mary_Mil_297,Marketing,Portsmouth,True
298,Barbara_Her,Operations,Isle of Wight,False
299,Matthew_Whi,Operations,Isle of Wight,False
300,Daniel_Ngu,Finance,Isle of Wight,False
301,Jessica_Mil,Legal,Remote,True
302,Karen_Wal_302,Finance,Remote,False
303,Steven_Moo,Legal,Isle of Wight,True
304,Christopher_Wri,IT,Isle of Wight,False
305,Thomas_Mar,Legal,Isle of Wight,False
306,William_Tor,Marketing,Remote,True
307,Margaret_Tho_307,Legal,London,True
308,Sarah_Rob,Legal,Portsmouth,False
309,Michelle_Rod,HR,Portsmouth,False
310,Sarah_Bro,Sales,Remote,True
311,Margaret_Wal,IT,Isle of Wight,False
312,Linda_Bak,Marketing,Remote,True
313,Joshua_Tho,IT,Remote,True
314,William_Rod_314,IT,Southampton,False
315,David_Ram_315,Marketing,Southampton,True
316,Christopher_Flo,Marketing,Isle of Wight,True
317,Richard_Mar,IT,Isle of Wight,True
318,Nancy_Sco,Sales,Portsmouth,True
319,Donna_Wil,Finance,Portsmouth,False
320,Paul_Har,IT,Isle of Wight,False
321,Sarah_Tho_321,HR,London,True
322,Richard_Mar_322,Sales,Remote,True
323,John_Rod_323,Sales,Portsmouth,True
324,Patricia_Gon,Marketing,Southampton,False
325,Emily_Whi,Sales,Isle of Wight,False
326,Daniel_Mit,Operations,Southampton,False
327,Sarah_Smi,HR,Portsmouth,True
328,Sandra_Cla,Legal,Isle of Wight,True
329,Donald_All,Sales,Portsmouth,True
330,Ashley_Sco_330,Sales,London,False
331,Lisa_Per,Sales,Remote,True
332,Kimberly_And,Finance,Remote,True
333,Joseph_Mil,Operations,London,False
334,Susan_Flo,Sales,Remote,True
335,Sandra_Riv,Operations,Isle of Wight,False
336,Margaret_Mil,HR,Isle of Wight,True
